
=== DAILY PASS — 181 market(s) from https://external-api.kalshi.com/trade-api/v2 → data/history/ ===
• discovered KXHIGHMIA (status=all): 200 market(s), 10 with volume ≥ 1000 contracts (capped at 10) — 10 already finalized with an exchange result
    ✓ KXHIGHMIA-26SEP09-B87.5  volume=118643.3 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26SEP14-B88.5  volume=104633.42 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26AUG21-B94.5  volume=99521.77 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHMIA-26SEP17-T84  volume=78585.1 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26SEP13-B89.5  volume=76522.92 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26AUG21-B92.5  volume=73436.08 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26SEP09-B89.5  volume=72259.52 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHMIA-26AUG25-B90.5  volume=70679.48 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26SEP18-B87.5  volume=67324.93 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHMIA-26AUG24-B90.5  volume=65116.54 contracts, liquidity=$0, status=finalized result=yes
    ✗ 190 market(s) below the volume floor — e.g. KXHIGHMIA-26SEP16-B88.5(63296.8), KXHIGHMIA-26AUG31-B87.5(61414.11), KXHIGHMIA-26SEP10-B88.5(60065.83)
• discovered KXHIGHAUS (status=all): 200 market(s), 10 with volume ≥ 1000 contracts (capped at 10) — 10 already finalized with an exchange result
    ✓ KXHIGHAUS-26SEP08-B100.5  volume=126644.26 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26SEP12-B99.5  volume=73083.23 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26AUG23-B104.5  volume=69623.72 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHAUS-26AUG23-B106.5  volume=68474.55 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26SEP11-B100.5  volume=54724.68 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26SEP04-T93  volume=39906.87 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26SEP09-B98.5  volume=37932.05 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26AUG25-B101.5  volume=32478.4 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26AUG22-B104.5  volume=30092.37 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHAUS-26SEP18-B96.5  volume=29202.31 contracts, liquidity=$0, status=finalized result=no
    ✗ 190 market(s) below the volume floor — e.g. KXHIGHAUS-26SEP11-B98.5(28410.88), KXHIGHAUS-26SEP11-B102.5(28356.24), KXHIGHAUS-26SEP16-B100.5(26058.92)
• discovered KXHIGHDEN (status=all): 200 market(s), 10 with volume ≥ 1000 contracts (capped at 10) — 10 already finalized with an exchange result
    ✓ KXHIGHDEN-26SEP15-B70.5  volume=25525.56 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHDEN-26AUG31-B84.5  volume=24633.19 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHDEN-26SEP18-T85  volume=24026.45 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHDEN-26SEP15-B72.5  volume=23998.71 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHDEN-26SEP12-T80  volume=23565.34 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHDEN-26SEP06-B89.5  volume=23220.82 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHDEN-26SEP12-B80.5  volume=19577.54 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHDEN-26SEP16-B81.5  volume=18925.69 contracts, liquidity=$0, status=finalized result=no
    ✓ KXHIGHDEN-26SEP17-T82  volume=18377.17 contracts, liquidity=$0, status=finalized result=yes
    ✓ KXHIGHDEN-26SEP14-B87.5  volume=16006.66 contracts, liquidity=$0, status=finalized result=yes
    ✗ 190 market(s) below the volume floor — e.g. KXHIGHDEN-26AUG31-B82.5(15935.59), KXHIGHDEN-26SEP02-B87.5(15796.18), KXHIGHDEN-26AUG26-B84.5(14739.9)
• discovered KXHIGHPHIL (status=all): 200 market(s), 10 with volume ≥ 1000 contracts (capped at 10) — 10 already finalized with an exchange result
